species,genus,family
Miconia_pubipetala,Miconia,Melastomataceae
Miconia_cinnamomifolia,Miconia,Melastomataceae
Miconia_bracteata,Miconia,Melastomataceae
Miconia_dorsiloba,Miconia,Melastomataceae
Monochaetum_lineatum,Monochaetum,Melastomataceae
Leandra_variabilis,Leandra,Melastomataceae
Clidemia_sessiliflora,Clidemia,Melastomataceae
Leandra_sericea,Leandra,Melastomataceae
Henriettea_succosa,Henriettea,Melastomataceae
Miconia_serialis,Miconia,Melastomataceae
Brachyotum_confertum,Brachyotum,Melastomataceae
Tibouchina_scabriuscula,Tibouchina,Melastomataceae
Clidemia_erythropogon,Clidemia,Melastomataceae
Tibouchina_frigidula,Tibouchina,Melastomataceae
Ossaea_amygdaloides,Ossaea,Melastomataceae
Leandra_lacunosa,Leandra,Melastomataceae
Meriania_longifolia,Meriania,Melastomataceae
Leandra_aristigera,Leandra,Melastomataceae
Leandra_nervosa,Leandra,Melastomataceae
Miconia_alborufescens,Miconia,Melastomataceae
Mouriri_helleri,Mouriri,Melastomataceae
Tetrazygia_longicollis,Tetrazygia,Melastomataceae
Meriania_brachycera,Meriania,Melastomataceae
Comolia_montana,Comolia,Melastomataceae
Mouriri_apiranga,Mouriri,Melastomataceae
Miconia_campestris,Miconia,Melastomataceae
Blakea_durandiana,Blakea,Melastomataceae
Miconia_foveolata,Miconia,Melastomataceae
Miconia_duckei,Miconia,Melastomataceae
Miconia_delicatula,Miconia,Melastomataceae
Miconia_paniculata,Miconia,Melastomataceae
Miconia_glaberrima,Miconia,Melastomataceae
Ernestia_glandulosa,Ernestia,Melastomataceae
Brachyotum_rostratum,Brachyotum,Melastomataceae
Miconia_barbinervis,Miconia,Melastomataceae
Mouriri_guianensis,Mouriri,Melastomataceae
Miconia_aureoides,Miconia,Melastomataceae
Mouriri_brevipes,Mouriri,Melastomataceae
Leandra_secunda,Leandra,Melastomataceae
Leandra_quinquedentata,Leandra,Melastomataceae
Clidemia_capitellata,Clidemia,Melastomataceae
Macairea_radula,Macairea,Melastomataceae
Miconia_dolichopoda,Miconia,Melastomataceae
Miconia_elegans,Miconia,Melastomataceae
Miconia_gratissima,Miconia,Melastomataceae
Miconia_costaricensis,Miconia,Melastomataceae
Rhynchanthera_brachyrhyncha,Rhynchanthera,Melastomataceae
Clidemia_pycnaster,Clidemia,Melastomataceae
Pterolepis_glomerata,Pterolepis,Melastomataceae
Ossaea_quadrisulca,Ossaea,Melastomataceae
Tibouchina_ochypetala,Tibouchina,Melastomataceae
Leandra_dichotoma,Leandra,Melastomataceae
Miconia_matthaei,Miconia,Melastomataceae
Miconia_impetiolaris,Miconia,Melastomataceae
Miconia_neriifolia,Miconia,Melastomataceae
Clidemia_blepharodes,Clidemia,Melastomataceae
Conostegia_pittieri,Conostegia,Melastomataceae
Leandra_regnellii,Leandra,Melastomataceae
Graffenrieda_gracilis,Graffenrieda,Melastomataceae
Castratella_piloselloides,Castratella,Melastomataceae
Blakea_bracteata,Blakea,Melastomataceae
Clidemia_involucrata,Clidemia,Melastomataceae
Ossaea_confertiflora,Ossaea,Melastomataceae
Clidemia_setosa,Clidemia,Melastomataceae
Miconia_ledifolia,Miconia,Melastomataceae
Miconia_fragrans,Miconia,Melastomataceae
Miconia_laevigata,Miconia,Melastomataceae
Miconia_mirabilis,Miconia,Melastomataceae
Rhexia_virginica,Rhexia,Melastomataceae
Rhexia_petiolata,Rhexia,Melastomataceae
Miconia_stenobotrys,Miconia,Melastomataceae
Miconia_centrodesma,Miconia,Melastomataceae
Miconia_squamulosa,Miconia,Melastomataceae
Tococa_coronata,Tococa,Melastomataceae
Graffenrieda_caryophyllea,Graffenrieda,Melastomataceae
Blakea_quadriflora,Blakea,Melastomataceae
Miconia_longifolia,Miconia,Melastomataceae
Meriania_leucantha,Meriania,Melastomataceae
Mouriri_grandiflora,Mouriri,Melastomataceae
Tibouchina_geitneriana,Tibouchina,Melastomataceae
Miconia_albicans,Miconia,Melastomataceae
Miconia_elongata,Miconia,Melastomataceae
Bellucia_aequiloba,Bellucia,Melastomataceae
Bellucia_acutata,Bellucia,Melastomataceae
Miconia_pachyphylla,Miconia,Melastomataceae
Leandra_ionopogon,Leandra,Melastomataceae
Tibouchina_lindeniana,Tibouchina,Melastomataceae
Miconia_bractiflora,Miconia,Melastomataceae
Meriania_phlomoides,Meriania,Melastomataceae
Conostegia_superba,Conostegia,Melastomataceae
Clidemia_umbellata,Clidemia,Melastomataceae
Cambessedesia_espora,Cambessedesia,Melastomataceae
Leandra_reversa,Leandra,Melastomataceae
Schwackaea_cupheoides,Schwackaea,Melastomataceae
Brachyotum_microdon,Brachyotum,Melastomataceae
Tococa_nitens,Tococa,Melastomataceae
Tococa_platyphylla,Tococa,Melastomataceae
Miconia_cyanocarpa,Miconia,Melastomataceae
Miconia_sclerophylla,Miconia,Melastomataceae
Comolia_microphylla,Comolia,Melastomataceae
Miconia_eriodonta,Miconia,Melastomataceae
Miconia_burchellii,Miconia,Melastomataceae
Microlicia_euphorbioides,Microlicia,Melastomataceae
Graffenrieda_emarginata,Graffenrieda,Melastomataceae
Miconia_cinerascens,Miconia,Melastomataceae
Miconia_mexicana,Miconia,Melastomataceae
Blakea_rosea,Blakea,Melastomataceae
Acisanthera_alsinaefolia,Acisanthera,Melastomataceae
Pterolepis_repanda,Pterolepis,Melastomataceae
Blakea_storkii,Blakea,Melastomataceae
Blakea_foliacea,Blakea,Melastomataceae
Miconia_dodecandra,Miconia,Melastomataceae
Mouriri_duckeana,Mouriri,Melastomataceae
Acanthella_sprucei,Acanthella,Melastomataceae
Miconia_corallina,Miconia,Melastomataceae
Miconia_argyrophylla,Miconia,Melastomataceae
Miconia_asclepiadea,Miconia,Melastomataceae
Leandra_chaetodon,Leandra,Melastomataceae
Axinaea_sclerophylla,Axinaea,Melastomataceae
Tococa_subciliata,Tococa,Melastomataceae
Miconia_phanerostila,Miconia,Melastomataceae
Siphanthera_cordata,Siphanthera,Melastomataceae
